"","data$description"
"11","Bei einem Theaterbesuch in Duisburg wurde ich Opfer von Diskriminierung, als andere Zuschauer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"12","Bei der Teilnahme an einer kulturellen Veranstaltung in Wolfsburg wurde ich diskriminiert, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"13","Bei einer politischen Veranstaltung in Bonn wurde ich diskriminiert, als einige Teilnehmer mich aus der Debatte ausschlossen, weil ich Muslima bin. Trotz meiner Versuche, meine Meinungen zu äußern, wurde ich ignoriert und marginalisiert."
"14","Bei einer kulturellen Veranstaltung in Essen wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"15","Bei einem Besuch im Schwimmbad in Hanau wurde ich diskriminiert, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen die Regeln des Schwimmbads, und baten mich, das Gelände zu verlassen."
"16","Bei einem Zoobesuch in Braunschweig wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"17","Bei der Teilnahme an einer politischen Versammlung in Mönchengladbach wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"18","Während eines Vorstellungsgesprächs in Hamburg wurde ich aufgrund meines muslimischen Nachnamens diskriminiert. Der Personalvermittler machte abfällige Bemerkungen über meine Religion und weigerte sich, meine Bewerbung ernsthaft zu prüfen."
"19","Bei der Bewerbung um eine Stelle in Dresden wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlverfahren ausgeschlossen."
"20","Beim Einkaufen in Leipzig wurde ich Opfer von Diskriminierung, als Verkäufer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"21","Beim Besuch einer Ausstellung in Magdeburg wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"22","Bei einem Besuch im Zoo in Osnabrück wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"23","Bei einem Museumsbesuch in Hannover wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung sei unangemessen und forderten mich auf, das Gelände zu verlassen."
"24","Bei einem Abendessen im Restaurant in Leipzig wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"25","Bei einem Besuch beim Zahnarzt in Bielefeld wurde ich diskriminiert, als der Zahnarzt sich weigerte, mich wegen meiner Religion zu behandeln. Trotz meiner Zahnbeschwerden war ich gezwungen, einen anderen Gesundheitsfachmann aufzusuchen, um eine Behandlung zu erhalten."
"26","Bei der Teilnahme an einer kulturellen Veranstaltung in Stuttgart wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"27","Bei der Bewerbung um eine Stelle in Bonn wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"28","Bei einem Besuch in einer Diskothek in Ludwigshafen wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Clubpolitik, und baten mich, das Lokal zu verlassen."
"29","Beim Besuch einer Ausstellung in Bonn wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"30","Beim Einkaufen in Chemnitz wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"31","Bei der Teilnahme an einer kulturellen Veranstaltung in Wolfsburg wurde ich diskriminiert, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"32","Während eines Vorstellungsgesprächs in Hamburg wurde ich aufgrund meines muslimischen Nachnamens diskriminiert. Der Personalvermittler machte abfällige Bemerkungen über meine Religion und weigerte sich, meine Bewerbung ernsthaft zu prüfen."
"33","Bei einer kulturellen Veranstaltung in Essen wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"34","Bei einem Zoobesuch in Braunschweig wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"35","Bei der Bewerbung um ein Austauschprogramm in Karlsruhe wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Programm ausgeschlossen."
"36","Bei einem Besuch im Schwimmbad in Hanau wurde ich diskriminiert, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen die Regeln des Schwimmbads, und baten mich, das Gelände zu verlassen."
"37","Bei der Bewerbung um eine freiwillige Stelle in Kassel wurde ich diskriminiert, als die Organisation sich weigerte, mich wegen meines muslimischen Glaubens einzustellen. Trotz meines Engagements und meiner Motivation wurde ich aus dem Freiwilligenteam ausgeschlossen."
"38","Bei einem Zoobesuch in Braunschweig wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"39","Bei einem Besuch in einem Café in Duisburg wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Café-Richtlinien, und baten mich, das Lokal zu verlassen."
"40","Beim Besuch einer Ausstellung in Freiburg wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"41","Beim Einkaufen in Leipzig wurde ich Opfer von Diskriminierung, als Verkäufer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"42","Beim Einkaufen in Leipzig wurde ich Opfer von Diskriminierung, als Verkäufer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"43","Bei einem Besuch in einer Diskothek in Ludwigshafen wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Clubpolitik, und baten mich, das Lokal zu verlassen."
"44","Bei der Bewerbung um eine Wohnung in Dortmund wurde ich diskriminiert. Der Vermieter weigerte sich, mir die Wohnung zu vermieten, weil mein muslimischer Nachname angeblich gegen ihn sprach, trotz meiner guten Referenzen und meiner Zahlungshistorie."
"45","Bei der Bewerbung um eine Stelle in Bochum wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"46","Bei einem Theaterbesuch in Duisburg wurde ich Opfer von Diskriminierung, als andere Zuschauer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"47","Bei einem Besuch im Museum in München wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"48","Beim Besuch einer Ausstellung in Freiburg wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"49","Bei der Teilnahme an einer kulturellen Veranstaltung in Erfurt wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"50","Bei der Bewerbung um eine Stelle in Bonn wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"51","Bei einem Theaterbesuch in Duisburg wurde ich Opfer von Diskriminierung, als andere Zuschauer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"52","Bei einem Besuch im Schwimmbad in Hanau wurde ich diskriminiert, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen die Regeln des Schwimmbads, und baten mich, das Gelände zu verlassen."
"53","Bei der Bewerbung um ein Austauschprogramm in Essen wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Programm ausgeschlossen."
"54","Beim Besuch einer Ausstellung in Bonn wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"55","Bei der Bewerbung um einen Studienplatz in Gelsenkirchen wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"56","Bei einem Besuch im Zoo in Osnabrück wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"57","Bei einem Besuch in einer Diskothek in Ludwigshafen wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Clubpolitik, und baten mich, das Lokal zu verlassen."
"58","Bei einem Zahnarztbesuch in Lübeck wurde ich Opfer von Diskriminierung, als der Zahnarzt sich weigerte, mich wegen meiner Religion zu behandeln. Trotz meiner Zahnbeschwerden war ich gezwungen, einen anderen Gesundheitsfachmann aufzusuchen, um eine Behandlung zu erhalten."
"59","Auf einer Zugfahrt nach Stuttgart wurde ich Opfer von Diskriminierung, als Mitreisende mich wegen meines muslimischen Glaubens verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"60","Beim Einkaufen in Leipzig wurde ich Opfer von Diskriminierung, als Verkäufer mich wegen meiner Religion verbal belästigten. Trotz meiner Versuche, die Beleidigungen zu ignorieren, war ich emotional stark betroffen."
"61","Bei einem Zoobesuch in Krefeld wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"62","Bei einem Zoobesuch in Münster wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"63","Beim Einkaufen in Düsseldorf wurde ich mit Diskriminierung konfrontiert, als der Kassierer sich weigerte, mich wegen meines Hijabs zu bedienen. Er machte abfällige Bemerkungen über meine Religion und forderte mich auf, den Laden zu verlassen."
"64","Bei einem Abendessen im Restaurant in Augsburg wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"65","Bei der Teilnahme an einer politischen Versammlung in Recklinghausen wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"66","Bei einem Arztbesuch in Frankfurt wurde ich aufgrund meiner Religion diskriminiert. Das medizinische Personal machte abfällige Bemerkungen über meinen Glauben und verweigerte mir eine angemessene medizinische Behandlung."
"67","Beim Besuch eines Fitnessstudios in Halle wurde ich diskriminiert, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen die Regeln des Fitnessstudios, und baten mich, das Gelände zu verlassen."
"68","Beim Sportunterricht in Mannheim wurde ich diskriminiert, als meine Mitspieler mich wegen meines muslimischen Glaubens verbal belästigten. Trotz meiner sportlichen Leistungen wurde ich von der Gruppe ausgeschlossen und ausgegrenzt."
"69","Bei der Bewerbung um eine Stelle in Dresde wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"70","Bei der Bewerbung um eine Stelle in Göttingen wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"71","Bei einem Besuch beim Friseur in Mannheim wurde ich diskriminiert, als der Friseur sich weigerte, mich wegen meiner Religion zu bedienen. Trotz meiner Versuche, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich aus dem Salon ausgeschlossen."
"72","Bei einem Besuch in einer Diskothek in Ludwigshafen wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Clubpolitik, und baten mich, das Lokal zu verlassen."
"73","Bei einem Zoobesuch in Münster wurde ich Opfer von Diskriminierung, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"74","Bei der Bewerbung um ein Austauschprogramm in Wiesbaden wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Programm ausgeschlossen."
"75","Bei einem Besuch im Museum in München wurde ich Opfer von Diskriminierung, als das Sicherheitspersonal mir den Zugang wegen meines Hijabs verwehrte. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"76","Beim Besuch einer Ausstellung in Berlin wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"77","Beim Besuch einer Bibliothek in Heidelberg wurde ich diskriminiert, als der Bibliothekar mir den Zugang wegen meines Hijabs verweigerte. Er behauptete, meine Kleidung verstoße gegen die Regeln der Bibliothek, und bat mich, das Gelände zu verlassen."
"78","Bei einer friedlichen Kundgebung in Berlin wurde ich aufgrund meines muslimischen Glaubens diskriminiert. Die Demonstranten hinderten mich daran, an der Veranstaltung teilzunehmen, und behandelten mich aufgrund meines Hijabs respektlos."
"79","Bei der Teilnahme an einer politischen Versammlung in Hagen wurde ich diskriminiert, als einige Teilnehmer mich von den Diskussionen ausschlossen, weil ich Muslima bin. Trotz meiner intellektuellen Beiträge wurde ich von den Teilnehmern abgelehnt und ausgegrenzt."
"80","Bei einem Besuch einer Ausstellung in Darmstadt wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines Hijabs verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"81","Bei einem Besuch im Schwimmbad in Hanau wurde ich diskriminiert, als das Personal mir den Zugang wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen die Regeln des Schwimmbads, und baten mich, das Gelände zu verlassen."
"82","Bei einer künstlerischen Veranstaltung in Wuppertal wurde ich diskriminiert, als die Organisatoren mir den Zugang aufgrund meines muslimischen Glaubens verweigerten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Veranstaltung ausgeschlossen."
"83","Bei einem Schulausflug nach Bremen wurde ich Opfer von Diskriminierung, als meine Klassenkameraden mich aufgrund meiner Religion ausschlossen. Trotz meiner Versuche, an den Aktivitäten teilzunehmen, wurde ich isoliert und marginalisiert."
"84","Bei einem Abendessen im Restaurant in Frankfurt wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"85","Bei der Bewerbung um eine Stelle in Bonn wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"86","Bei der Bewerbung um einen Studienplatz in Saarbrücken wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"87","Bei der Bewerbung um eine Stelle in Göttingen wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"88","Bei einem Zoobesuch in Krefeld wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"89","Beim Besuch einer Ausstellung in Bonn wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"90","Bei einem Besuch in einem Café in Duisburg wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Café-Richtlinien, und baten mich, das Lokal zu verlassen."
"91","Bei der Bewerbung um eine freiwillige Stelle in Kassel wurde ich diskriminiert, als die Organisation sich weigerte, mich wegen meines muslimischen Glaubens einzustellen. Trotz meines Engagements und meiner Motivation wurde ich aus dem Freiwilligenteam ausgeschlossen."
"92","Bei einem Besuch beim Tierarzt in Göttingen wurde ich Opfer von Diskriminierung, als der Tierarzt sich weigerte, mein Tier wegen meiner Religion zu behandeln. Trotz meiner Bedenken um die Gesundheit meines Tieres war ich gezwungen, einen anderen Tierarzt aufzusuchen."
"93","Bei einem Arztbesuch in Frankfurt wurde ich aufgrund meiner Religion diskriminiert. Das medizinische Personal machte abfällige Bemerkungen über meinen Glauben und verweigerte mir eine angemessene medizinische Behandlung."
"94","Bei einem Stadtteilmeeting in Leipzig wurde ich mit Diskriminierung konfrontiert, als einige Bewohner beleidigende Bemerkungen über meine Religion machten. Trotz meiner Bemühungen, an der Diskussion teilzunehmen, wurde ich ausgeschlossen und ignoriert."
"95","Bei einem Zoobesuch in Trier wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"96","Bei der Bewerbung um einen Studienplatz in Dortmund wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"97","Bei der Bewerbung um ein Praktikum in Erfurt wurde ich diskriminiert, als das Unternehmen sich weigerte, mich wegen meines muslimischen Glaubens einzustellen. Trotz meiner Fähigkeiten und meiner Begeisterung wurde ich aus dem Praktikumsprogramm ausgeschlossen."
"98","Bei einem Besuch beim Zahnarzt in Bielefeld wurde ich diskriminiert, als der Zahnarzt sich weigerte, mich wegen meiner Religion zu behandeln. Trotz meiner Zahnbeschwerden war ich gezwungen, einen anderen Gesundheitsfachmann aufzusuchen, um eine Behandlung zu erhalten."
"99","Bei der Bewerbung um eine Stelle in Nuremberg wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"100","Bei der Bewerbung um einen Studienplatz in Gelsenkirchen wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"101","Bei einer diplomatischen Empfang in Saarbrücken wurde ich diskriminiert, als einige Gäste mich aus der Gruppe ausschlossen, weil ich Muslima bin. Trotz meiner Bemühungen, Kontakte zu knüpfen, wurde ich abgelehnt und ausgegrenzt."
"102","Bei einem Schulausflug nach Bremen wurde ich Opfer von Diskriminierung, als meine Klassenkameraden mich aufgrund meiner Religion ausschlossen. Trotz meiner Versuche, an den Aktivitäten teilzunehmen, wurde ich isoliert und marginalisiert."
"103","Bei der Bewerbung um einen Studienplatz in Gelsenkirchen wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"104","Bei der Bewerbung um eine Stelle in Dresden wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlverfahren ausgeschlossen."
"105","Bei einem Arztbesuch in Frankfurt wurde ich aufgrund meiner Religion diskriminiert. Das medizinische Personal machte abfällige Bemerkungen über meinen Glauben und verweigerte mir eine angemessene medizinische Behandlung."
"106","Beim Besuch einer Ausstellung in Freiburg wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"107","Bei der Bewerbung um ein Mentorenprogramm in Bremerhaven wurde ich diskriminiert, als die Organisation sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meines Interesses am Programm wurde ich aus dem Auswahlverfahren ausgeschlossen."
"108","Bei einem Zoobesuch in Trier wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"109","Bei einem Zoobesuch in Trier wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"110","Bei der Bewerbung um einen Studienplatz in Saarbrücken wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"111","Beim Besuch eines Konzerts in Oberhausen wurde ich diskriminiert, als Sicherheitskräfte mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Versuche, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich vom Konzert ausgeschlossen."
"112","Bei der Bewerbung um eine Stelle in Dresden wurde ich diskriminiert, als der Arbeitgeber sich weigerte, meine Bewerbung wegen meines muslimischen Glaubens zu berücksichtigen. Trotz meiner Qualifikationen und Erfahrungen wurde ich aus dem Auswahlverfahren ausgeschlossen."
